Comments,MD,Inc,Azim,TVD,TVDSS,VSEC,NS,EW,DLS
,2090.83,19.41,239.43,2069.76453019666,1178.80453019666,177.795016596333,-101.226992876644,-149.231358454562,1.530425920112
,2184.15,21.15,241.46,2157.29735602779,1266.33735602779,210.012941101527,-117.158287957457,-177.374601427377,2.01096626165
,2277.4,22.24,244.53,2243.94350092368,1352.98350092368,244.441615630594,-132.785608979707,-208.086954115179,1.687091011907
,2371.31,22.37,247.52,2330.82965670579,1439.86965670579,280.071180063113,-147.261624259741,-240.645163400536,1.216189055993
,2465.59,23.06,246.41,2417.79689965688,1526.83689965688,316.462954650084,-161.511026828889,-274.144756097446,0.861544609003
,2558.98,23.28,245.54,2503.65440317582,1612.69440317582,353.205782976318,-176.472073544388,-307.705322441431,0.435705824886
,2652.15,22.85,244.33,2589.37677346555,1698.41677346555,389.704072332297,-191.931988173329,-340.769274335854,0.686912928633
,2745.75,23.15,246.53,2675.53754526589,1784.57754526589,426.270407881634,-207.132503590653,-374.026475208269,0.972644799394
,2839.92,23.63,249.63,2761.97209382629,1871.01209382629,463.602814809515,-221.074813341599,-408.700341744567,1.402551305415
,2932.71,23.58,249.04,2846.99826714201,1956.03826714201,500.673137670201,-234.186887580196,-443.465190585966,0.260249067728
,3026.07,23.52,248.76,2932.58249949859,2041.62249949859,537.907654202328,-247.615318816688,-478.266087711839,0.135976471808
,3120.25,24.31,249.42,3018.67641919917,2127.71641919917,576.008666577241,-261.237860993666,-513.93090371604,0.885607497894
,3213.59,24.93,250.02,3103.53066982829,2212.57066982829,614.78556831182,-274.713332661134,-550.40588944182,0.716180737606
,3306.87,24.74,249.88,3188.18420485758,2297.22420485757,653.843376212055,-288.14501584771,-587.209673982027,0.213218985842
,3399.8,23.96,249.14,3272.84705289161,2381.88705289161,692.062260919904,-301.553434473558,-623.101840204876,0.901255621157
,3493.77,23.58,248.95,3358.84551174735,2467.88551174735,729.864042399143,-315.098765583253,-658.472962561957,0.412514306019
,3586.59,24.76,249.42,3443.52699474541,2552.56699474541,767.787201389197,-328.600124637421,-693.997595247621,1.288063089537
,3679.98,25.47,249.68,3528.08717564431,2637.12717564431,807.323850189214,-342.44804868874,-731.137716462907,0.769379164421
,3772.28,25.42,249.42,3611.43392674653,2720.47392674652,846.878845876835,-356.303408224182,-768.294611564386,0.132596848919
,3866.99,25.57,249.3,3696.92131825504,2805.96131825504,887.550568570215,-370.673407003619,-806.44415150123,0.1675049338
"13 3/8"" Casing Point",4018.0,24.065063167053,247.378034832357,3833.98372967216,2943.02372967216,950.842661399052,-394.037468271384,-865.353817500924,1.130611380839
,4079.46,23.46,246.53,3890.23326329278,2999.27326329278,975.598557961272,-403.729957278298,-888.142650855611,1.130611380839
,4172.71,23.04,244.8,3975.91136597821,3084.95136597821,1012.40432368406,-418.892333449341,-921.680475837815,0.859713823754
,4267.3,23.25,244.85,4062.88805970387,3171.92805970387,1049.58152217854,-434.707837346279,-955.328396741379,0.222980859097
,4360.11,23.19,244.75,4148.18024235376,3257.22024235376,1086.17061894039,-450.287708983882,-988.437400826709,0.077356261552
,4454.23,23.31,244.96,4234.65687033237,3343.69687033237,1123.32179219509,-466.07435678142,-1022.06988781961,0.154959963553
,4548.47,23.97,247.07,4320.98962430781,3430.02962430781,1161.10316227126,-481.424784974852,-1056.59434292062,1.138549193561
,4641.37,24.47,248.74,4405.7130253415,3514.7530253415,1199.17589538042,-495.753757881326,-1091.90550646276,0.91292848938
,4735.17,24.44,248.71,4491.09791617548,3600.13791617548,1237.94396222047,-509.843437404385,-1128.09032527875,0.034615209352
,4828.61,24.03,247.61,4576.30326497221,3685.34326497221,1276.25479763667,-524.108877121219,-1163.69224836166,0.652701394693
,4922.29,23.78,246.75,4661.94745917089,3770.98745917089,1314.19776821813,-538.829950957272,-1198.68172403404,0.457816880977
,5015.24,23.7,246.33,4747.03224839144,3856.07224839144,1351.61131992669,-553.727071206563,-1233.00881650718,0.201244016486
,5108.29,22.28,247.16,4832.68960533998,3941.72960533998,1387.94312012243,-568.082354473352,-1266.39413205244,1.565287335923
,5202.67,20.59,247.02,4920.53842160149,4029.57842160149,1422.41855420948,-581.507119811568,-1298.16360122857,1.791452752687
,5295.73,18.84,246.34,5008.14016642843,4117.18016642843,1453.80253519066,-593.926575712828,-1326.99362455766,1.896563623807
,5388.91,18.24,246.17,5096.48390469779,4205.52390469779,1483.4276244046,-605.85614585257,-1354.11375870199,0.646522168327
,5482.17,18.16,246.26,5185.07829280341,4294.11829280341,1512.55342648589,-617.603818722423,-1380.76807525429,0.090923125859
,5575.54,17.88,245.89,5273.8683039252,4382.9083039252,1541.43548661776,-629.316704771465,-1407.17032660013,0.323968946614
,5669.5,15.92,244.89,5363.76631703929,4472.80631703929,1568.74754802305,-640.678326173347,-1432.0070457502,2.108738467532
ORTEGUAZA,5731.89217857041,14.580908668118,244.857822530043,5423.96,4533.0,1585.15789098442,-647.646532440698,-1446.86542318018,2.146291507501
,5762.22,13.93,244.84,5453.35379310123,4562.39379310123,1592.62552037491,-650.820480829863,-1453.62544083785,2.146291507501
,5857.67,11.99,244.4,5546.36796262727,4655.40796262727,1614.0287884089,-659.989824982844,-1472.96755212612,2.035090880466
,5949.12,10.32,241.88,5636.08759709697,4745.12759709697,1631.70294966644,-667.955585249684,-1488.75976952216,1.901935014681
,6042.89,7.15,238.46,5728.75878041913,4837.79878041913,1645.88171296696,-674.968744221264,-1501.14441111141,3.424209978847
,6134.7,3.9,239.04,5820.13001306765,4929.17001306765,1654.65785275058,-679.564969603608,-1508.69346590171,3.540396834339
,6230.62,0.98,298.49,5915.9618204036,5025.0018204036,1658.39387772318,-680.852202290164,-1512.21277004157,3.653923941867
,6324.15,1.19,351.86,6009.47723158424,5118.51723158424,1658.60063594276,-679.509213570057,-1513.0532870777,1.061016619659
,6416.78,1.24,356.15,6102.08642175417,5211.12642175417,1657.97488076889,-677.557024415274,-1513.25677743998,0.112022224698
,6510.81,1.04,358.99,6196.0977698621,5305.1377698621,1657.27467294364,-675.688685573991,-1513.34013381023,0.220958863759
TIYUYACU,6561.68020759997,0.989681863897,355.998953531734,6246.96,5356.0,1656.93620218428,-674.788845933847,-1513.37892511601,0.143596230069
,6604.08,0.95,353.27,6289.35371978682,5398.39371978682,1656.70020152021,-674.074496816104,-1513.44566620911,0.143596230069
,6698.57,0.99,355.64,6383.83018094651,5492.87018094651,1656.17896500342,-672.482646232856,-1513.59952068623,0.059949653311
TIYUYACU CONGL. SUP.,6743.70648133612,0.98397746621,345.549656247264,6428.96,5538.0,1655.97652751982,-671.718543085296,-1513.72587657944,0.384808228945
,6790.79,1.01,335.23,6476.03642875252,5585.07642875252,1655.90733981898,-670.95026391903,-1514.00062283144,0.384808228945
,6885.07,0.93,358.29,6570.30326957917,5679.34326957917,1655.61375453534,-669.43099203986,-1514.37159752165,0.419595956678
BASE TIYUYACU CONGL. SUP.,6933.73193357491,0.742291840163,357.24231462078,6618.96,5728.0,1655.34353779794,-668.721410563346,-1514.39854739677,0.387000517068
,6978.49,0.57,355.67,6663.71511503245,5772.75511503245,1655.1590256628,-668.209827951469,-1514.42930503733,0.387000517068
,7070.88,0.48,114.72,6756.10313348228,5865.14313348228,1654.74768714379,-667.913412145799,-1514.11246122974,0.980723306493
,7165.27,0.97,130.92,6850.48537793583,5959.52537793583,1654.15785576889,-668.602078332997,-1513.1495973822,0.557661889431
,7259.26,1.07,130.39,6944.46047277165,6053.50047277165,1653.45563105913,-669.691844077753,-1511.8800310062,0.106865644037
,7352.1,0.96,132.76,7037.28589530464,6146.32589530464,1652.78824568537,-670.781577122957,-1510.64877898006,0.126794734461
,7445.92,0.93,132.99,7131.09313358374,6240.13313358374,1652.19399087498,-671.834348784627,-1509.51479751403,0.032230662618
,7540.03,0.89,129.19,7225.19127081784,6334.23127081784,1651.57864024609,-672.816971564115,-1508.38965589929,0.076912050254
,7633.7,0.8,127.3,7318.85107639408,6427.89107639408,1650.94809217513,-673.672928528731,-1507.3056446121,0.100571357716
TIYUYACU CONGL. INF.,7715.81692726293,0.799977881601,126.135962102618,7400.96,6510.0,1650.39683479019,-674.358368242318,-1506.38665899207,0.01979131287
,7726.82,0.8,125.98,7411.96200023263,6521.00200023263,1650.32141984081,-674.448792251133,-1506.26246550396,0.01979131287
,7819.35,0.49,119.98,7504.48603443393,6613.52603443393,1649.77391180881,-675.026006932555,-1505.39701843558,0.342430746141
,7913.05,0.59,114.39,7598.18186759357,6707.22186759357,1649.22443924811,-675.425432650509,-1504.61059227485,0.120505995519
,8007.09,0.48,121.2,7692.21776308768,6801.25776308768,1648.68461723863,-675.829427215625,-1503.8326889241,0.134910417519
,8100.86,0.37,126.91,7785.98517320983,6895.02517320983,1648.31882296947,-676.214727394874,-1503.25463302736,0.125561119481
TENA,8185.83582181066,0.194107888344,88.224305487949,7870.96,6980.0,1648.05497422724,-676.375044799114,-1502.89137721617,0.294093872564
"9 5/8"" Casing Point",8212.0,0.179660281818,64.87441249094,7897.12404273409,7006.1640427341,1647.97308858889,-676.356253816671,-1502.80993925719,0.294093872564
,8264.97,0.24,24.41,7950.09371280793,7059.13371280793,1647.80637856963,-676.219968226342,-1502.68890197751,0.294093872564
,8358.7,0.26,43.81,8043.82283694916,7152.86283694916,1647.46066552453,-675.887740578985,-1502.46055337514,0.092308051556
,8452.0,0.47,17.53,8137.12095137869,7246.16095137869,1647.00749351277,-675.370079096512,-1502.19874475822,0.282276602363
,8545.06,0.49,16.42,8230.17768547481,7339.21768547481,1646.49087810137,-674.624425435455,-1501.9712957609,0.023699964442
,8638.62,0.56,230.17,8323.73613913226,7432.77613913226,1646.66965163618,-674.533526990358,-1502.20932956769,1.074168045656
,8732.15,0.92,222.94,8417.25820405248,7526.29820405248,1647.80417522522,-675.37597743528,-1503.07185598828,0.39688218973
,8825.94,0.93,208.11,8511.03611724776,7620.07611724776,1649.10481733263,-676.598562694437,-1503.94342500167,0.254768948572
,8919.92,0.95,211.3,8605.00347575867,7714.04347575867,1650.35581718088,-677.936985949336,-1504.70752851526,0.059603634915
,9013.34,1.04,212.85,8698.40938147534,7807.44938147534,1651.71083816025,-679.310954924364,-1505.56975346461,0.100546489836
BASAL TENA,9031.8936574162,1.034332250449,215.230763348847,8716.96,7826.0,1651.99736846222,-679.58919651116,-1505.7576922396,0.23425041744
NAPO,9042.89544553832,1.031821614057,216.653413087503,8727.96,7837.0,1652.16996859332,-679.749778671084,-1505.87411050884,0.23425041744
,9107.18,1.03,225.03,8792.2341859786,7901.2741859786,1653.21861188337,-680.622478311974,-1506.62841525276,0.23425041744
,9200.86,0.93,233.91,8885.90052576233,7994.94052576233,1654.75251723994,-681.665376852391,-1507.83846123176,0.193799567142
"CALIZA ""M1""",9255.92574134245,0.797439554794,236.332362340728,8940.96,8050.0,1655.56869201665,-682.141045207386,-1508.51849894001,0.249644258922
,9292.68,0.71,238.45,8977.71107567457,8086.75107567457,1656.04723783953,-682.401987148908,-1508.92542255832,0.249644258922
,9387.0,0.69,249.97,9072.02408331489,8181.06408331489,1657.19342000343,-682.902282612696,-1509.95699744262,0.150450663613
"CALIZA ""M2""",9447.93949020921,0.549844898346,243.032072937904,9132.96,8242.0,1657.85135410728,-683.160562882142,-1510.56234071308,0.260493000551
,9480.37,0.48,237.73,9165.38919997996,8274.42919997996,1658.14143292142,-683.303658189142,-1510.81588981258,0.260493000551
"BASE CALIZA ""M2""",9497.94143224283,0.492136487543,235.870653442368,9182.96,8292.0,1658.28877573612,-683.385294677272,-1510.94058985256,0.113256148486
,9574.11,0.55,228.82,9259.12542260775,8368.16542260775,1658.96159577247,-683.809533994941,-1511.48651859294,0.113256148486
"CALIZA ""A""",9575.944661911,0.549937354696,228.697455580489,9260.96,8370.0,1658.97846328906,-683.821143193171,-1511.49976041654,0.064203856727
,9667.06,0.55,222.6,9352.07114852231,8461.11114852232,1659.80012657624,-684.431660602271,-1512.12425805528,0.064203856727
"BASE CALIZA ""A""",9673.94916381637,0.541175358659,222.41294514387,9358.96,8468.0,1659.86053334112,-684.48002011985,-1512.16858261472,0.130677550425
"""U"" SUPERIOR",9718.95096533915,0.483691889211,221.023419791019,9403.96,8513.0,1660.22903538487,-684.78023422251,-1512.43660127771,0.130677550425
"""U"" INFERIOR",9749.95198241199,0.444294053535,219.857508882643,9434.96,8544.0,1660.45656541497,-684.971223107184,-1512.59952076095,0.130677550425
,9761.24,0.43,219.38,9446.24768901715,8555.28768901715,1660.53407961877,-685.037559608331,-1512.65444328817,0.130677550425
"BASE ""U"" INFERIOR",9787.95308012198,0.440926948645,211.502322706737,9472.96,8582.0,1660.70937157898,-685.20267692928,-1512.77174991843,0.227640708701
,9854.26,0.5,194.49,9539.26471412977,8648.30471412977,1661.10319517749,-685.700321554172,-1512.97745584427,0.227640708701
"CALIZA ""B""",9866.95574606249,0.475584636586,194.759451807349,9551.96,8661.0,1661.17145427061,-685.80490591932,-1513.00473965848,0.193157814097
"""T"" SUPERIOR",9888.95643857323,0.433303543221,195.298267691836,9573.96,8683.0,1661.28258422075,-685.973442982978,-1513.04995050751,0.193157814097
,9948.06,0.32,197.45,9633.0622750136,8742.10227501361,1661.53618125657,-686.346461147951,-1513.15840912863,0.193157814097
"""T"" INFERIOR",9959.95791201773,0.322525235457,197.794315409437,9644.96,8754.0,1661.58096275199,-686.410042376831,-1513.17860617511,0.026716212367
"BASE ""T"" INFERIOR",10036.9591956008,0.339133958208,199.897403926503,9721.96,8831.0,1661.88647630758,-686.830678373784,-1513.32239456082,0.026716212367
,10040.92,0.34,200.0,9725.92073483951,8834.96073483951,1661.90292661705,-686.852743705501,-1513.33040334794,0.026716212367
,10135.18,0.53,222.47,9820.17804050028,8929.21804050028,1662.50043640153,-687.437127684822,-1513.72041842078,0.267255461481
"CALIZA ""C""",10149.9626248742,0.557581454937,226.532546070008,9834.96,8944.0,1662.63141740566,-687.537042468738,-1513.81878558418,0.320577116418
HOLLIN SUPERIOR,10166.9634804694,0.592409006237,230.712722892287,9851.96,8961.0,1662.79466138907,-687.649602058457,-1513.94684616985,0.320577116418
HOLLIN INFERIOR,10211.9663238,0.696881463849,239.593927378403,9896.96,9006.0,1663.29189196337,-687.935431608517,-1514.36294624677,0.320577116418
,10229.03,0.74,242.28,9914.02233484103,9023.06233484103,1663.50513798634,-688.039206480662,-1514.54998605092,0.320577116418
Ultimo Survey,10319.31,0.63,244.03,10004.2958700047,9113.3358700047,1664.58340443943,-688.527726720792,-1515.51227685436,0.124013276439
Proyeccion a la Broca,10390.0,0.55,245.43,10074.9821167779,9184.02211677785,1665.31119699874,-688.838983577797,-1516.17022686456,0.114984573965
